Time,SrcIP,SrcPort,DstIP,DstPort,PacketSIZE,Session_id,vendor
2018-01-01 05:45:39,192.168.0.105,20228,13.228.14.18,4456,52.0,19735,Home_camera
2018-01-01 05:45:40,13.228.14.18,4456,192.168.0.105,20228,46.0,19735,Home_camera
2018-01-01 06:00:23,192.168.0.105,38687,13.228.14.18,903,49.0,877,Home_camera
2018-01-01 06:00:24,13.228.14.18,903,192.168.0.105,38687,44.0,877,Home_camera
2018-01-01 06:15:56,192.168.0.105,24219,13.228.14.18,4138,52.0,45678,Home_camera
2018-01-01 06:15:57,13.228.14.18,4138,192.168.0.105,24219,52.0,45678,Home_camera
2018-01-01 06:30:37,192.168.0.105,8365,13.228.14.18,2710,50.0,45417,Home_camera
2018-01-01 06:30:38,13.228.14.18,2710,192.168.0.105,8365,48.0,45417,Home_camera
2018-01-01 06:45:20,192.168.0.105,21539,13.228.14.18,3060,52.0,28596,Home_camera
2018-01-01 06:45:21,13.228.14.18,3060,192.168.0.105,21539,52.0,28596,Home_camera
2018-01-01 07:00:03,192.168.0.105,39390,13.228.14.18,1385,43.0,7505,Home_camera
2018-01-01 07:00:04,13.228.14.18,1385,192.168.0.105,39390,53.0,7505,Home_camera
2018-01-01 07:15:13,192.168.0.105,42800,13.228.14.18,3296,52.0,22214,Home_camera
2018-01-01 07:15:14,13.228.14.18,3296,192.168.0.105,42800,51.0,22214,Home_camera
2018-01-01 07:30:36,192.168.0.105,28832,13.228.14.18,3106,53.0,34041,Home_camera
2018-01-01 07:30:37,13.228.14.18,3106,192.168.0.105,28832,49.0,34041,Home_camera
2018-01-01 07:45:09,192.168.0.105,42453,13.228.14.18,3422,49.0,21047,Home_camera
2018-01-01 07:45:10,13.228.14.18,3422,192.168.0.105,42453,49.0,21047,Home_camera
2018-01-01 08:00:32,192.168.0.105,60523,13.228.14.18,4540,52.0,11040,Home_camera
2018-01-01 08:00:33,13.228.14.18,4540,192.168.0.105,60523,50.0,11040,Home_camera
2018-01-01 17:00:55,132.214.243.163,9010,192.168.0.105,29441,53.0,12456,Home_camera
2018-01-01 17:00:56,192.168.0.105,29441,132.214.243.163,9010,51.0,12456,Home_camera
2018-01-01 17:00:57,132.214.243.163,9010,192.168.0.105,29441,126.5,12456,Home_camera
2018-01-01 17:00:58,132.214.243.163,9010,192.168.0.105,29441,126.5,12456,Home_camera
2018-01-01 17:00:59,192.168.0.105,29441,132.214.243.163,9010,246.0,12456,Home_camera
2018-01-01 17:01:00,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:01,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:02,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:03,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:04,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:05,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:06,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:07,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:08,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:01:09,192.168.0.105,43602,152.12.213.207,9020,499.9,12456,Home_camera
2018-01-01 17:03:53,132.214.243.163,9010,192.168.0.105,29441,53.0,23344,Home_camera
2018-01-01 17:03:54,192.168.0.105,29441,132.214.243.163,9010,51.0,23344,Home_camera
2018-01-01 17:03:55,132.214.243.163,9010,192.168.0.105,29441,126.5,23344,Home_camera
2018-01-01 17:03:56,132.214.243.163,9010,192.168.0.105,29441,126.5,23344,Home_camera
2018-01-01 17:03:57,192.168.0.105,29441,132.214.243.163,9010,246.0,23344,Home_camera
2018-01-01 17:03:58,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:03:59,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:04:00,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:04:01,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:04:02,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:04:03,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:04:04,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:04:05,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:04:06,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:04:07,192.168.0.105,43602,152.12.213.207,9020,499.9,23344,Home_camera
2018-01-01 17:28:15,132.214.243.163,9010,192.168.0.105,29441,53.0,32454,Home_camera
2018-01-01 17:28:16,192.168.0.105,29441,132.214.243.163,9010,51.0,32454,Home_camera
2018-01-01 17:28:17,132.214.243.163,9010,192.168.0.105,29441,126.5,32454,Home_camera
2018-01-01 17:28:18,132.214.243.163,9010,192.168.0.105,29441,126.5,32454,Home_camera
2018-01-01 17:28:19,192.168.0.105,29441,132.214.243.163,9010,246.0,32454,Home_camera
2018-01-01 17:28:20,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:21,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:22,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:23,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:24,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:25,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:26,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:27,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:28,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:28:29,192.168.0.105,43602,152.12.213.207,9020,499.9,32454,Home_camera
2018-01-01 17:31:11,132.214.243.163,9010,192.168.0.105,29441,53.0,43447,Home_camera
2018-01-01 17:31:12,192.168.0.105,29441,132.214.243.163,9010,51.0,43447,Home_camera
2018-01-01 17:31:13,132.214.243.163,9010,192.168.0.105,29441,126.5,43447,Home_camera
2018-01-01 17:31:14,132.214.243.163,9010,192.168.0.105,29441,126.5,43447,Home_camera
2018-01-01 17:31:15,192.168.0.105,29441,132.214.243.163,9010,246.0,43447,Home_camera
2018-01-01 17:31:16,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:17,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:18,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:19,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:20,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:21,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:22,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:23,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:24,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
2018-01-01 17:31:25,192.168.0.105,43602,152.12.213.207,9020,499.9,43447,Home_camera
