,0,1
42,00-13-E8,Intel Corporate
43,00-13-02,Intel Corporate
44,E4-F8-9C,Intel Corporate
45,A4-02-B9,Intel Corporate
46,4C-34-88,Intel Corporate
47,00-0D-0B,BUFFALO.INC
48,00-07-40,BUFFALO.INC
49,00-24-A5,BUFFALO.INC
50,DC-FB-02,BUFFALO.INC
51,F4-CE-46,Hewlett Packard
52,00-1C-C4,Hewlett Packard
53,00-25-B3,Hewlett Packard
54,00-18-71,Hewlett Packard
55,00-0B-CD,Hewlett Packard
56,00-0E-7F,Hewlett Packard
57,00-0F-20,Hewlett Packard
58,00-11-0A,Hewlett Packard
59,00-13-21,Hewlett Packard
60,00-16-35,Hewlett Packard
61,00-17-A4,Hewlett Packard
62,00-08-02,Hewlett Packard
63,90-E7-C4,HTC Corporation
64,74-A7-8E,zte corporation
65,D8-60-B0,bioMérieux Italia S.p.A.
66,80-38-BC,"HUAWEI TECHNOLOGIES CO.,LTD"
67,D4-40-F0,"HUAWEI TECHNOLOGIES CO.,LTD"
68,64-A6-51,"HUAWEI TECHNOLOGIES CO.,LTD"
69,E8-CD-2D,"HUAWEI TECHNOLOGIES CO.,LTD"
70,AC-E2-15,"HUAWEI TECHNOLOGIES CO.,LTD"
71,EC-23-3D,"HUAWEI TECHNOLOGIES CO.,LTD"
72,78-F5-FD,"HUAWEI TECHNOLOGIES CO.,LTD"
73,80-B6-86,"HUAWEI TECHNOLOGIES CO.,LTD"
74,10-C6-1F,"HUAWEI TECHNOLOGIES CO.,LTD"
75,88-53-D4,"HUAWEI TECHNOLOGIES CO.,LTD"
76,0C-37-DC,"HUAWEI TECHNOLOGIES CO.,LTD"
77,BC-76-70,"HUAWEI TECHNOLOGIES CO.,LTD"
78,24-DB-AC,"HUAWEI TECHNOLOGIES CO.,LTD"
79,00-21-E8,"Murata Manufacturing Co., Ltd."
80,00-60-57,"Murata Manufacturing Co., Ltd."
81,00-07-D8,Hitron Technologies. Inc
82,84-74-2A,zte corporation
83,68-1A-B2,zte corporation
84,E0-05-C5,"TP-LINK TECHNOLOGIES CO.,LTD."
85,A0-F3-C1,"TP-LINK TECHNOLOGIES CO.,LTD."
86,8C-21-0A,"TP-LINK TECHNOLOGIES CO.,LTD."
87,EC-17-2F,"TP-LINK TECHNOLOGIES CO.,LTD."
88,EC-88-8F,"TP-LINK TECHNOLOGIES CO.,LTD."
89,14-CF-92,"TP-LINK TECHNOLOGIES CO.,LTD."
90,64-56-01,"TP-LINK TECHNOLOGIES CO.,LTD."
91,14-CC-20,"TP-LINK TECHNOLOGIES CO.,LTD."
92,BC-46-99,"TP-LINK TECHNOLOGIES CO.,LTD."
93,0C-45-BA,"HUAWEI TECHNOLOGIES CO.,LTD"
94,84-77-78,Cochlear Limited
95,04-53-D5,Sysorex Global Holdings
96,CC-A2-23,"HUAWEI TECHNOLOGIES CO.,LTD"
97,E8-08-8B,"HUAWEI TECHNOLOGIES CO.,LTD"
98,60-E7-01,"HUAWEI TECHNOLOGIES CO.,LTD"
99,00-08-83,Hewlett Packard
100,C4-34-6B,Hewlett Packard
101,8C-DC-D4,Hewlett Packard
102,34-64-A9,Hewlett Packard
103,D4-C9-EF,Hewlett Packard
104,A4-5D-36,Hewlett Packard
105,A0-D3-C1,Hewlett Packard
106,40-A8-F0,Hewlett Packard
107,6C-3B-E5,Hewlett Packard
108,08-2E-5F,Hewlett Packard
109,28-92-4A,Hewlett Packard
110,10-60-4B,Hewlett Packard
111,30-8D-99,Hewlett Packard
112,00-30-C1,Hewlett Packard
113,FC-3F-DB,Hewlett Packard
114,4C-A1-61,Rain Bird Corporation
115,7C-61-93,HTC Corporation
116,00-12-17,"Cisco-Linksys, LLC"
117,00-0C-41,"Cisco-Linksys, LLC"
118,00-0F-66,"Cisco-Linksys, LLC"
119,44-E0-8E,Cisco SPVTG
120,18-59-33,Cisco SPVTG
121,E4-48-C7,Cisco SPVTG
122,24-76-7D,Cisco SPVTG
123,2C-AB-A4,Cisco SPVTG
124,00-6B-8E,"Shanghai Feixun Communication Co.,Ltd."
125,AC-85-3D,"HUAWEI TECHNOLOGIES CO.,LTD"
126,74-88-2A,"HUAWEI TECHNOLOGIES CO.,LTD"
127,78-D7-52,"HUAWEI TECHNOLOGIES CO.,LTD"
128,E0-24-7F,"HUAWEI TECHNOLOGIES CO.,LTD"
129,00-46-4B,"HUAWEI TECHNOLOGIES CO.,LTD"
130,70-7B-E8,"HUAWEI TECHNOLOGIES CO.,LTD"
131,54-89-98,"HUAWEI TECHNOLOGIES CO.,LTD"
132,08-19-A6,"HUAWEI TECHNOLOGIES CO.,LTD"
133,3C-F8-08,"HUAWEI TECHNOLOGIES CO.,LTD"
134,B4-15-13,"HUAWEI TECHNOLOGIES CO.,LTD"
135,28-31-52,"HUAWEI TECHNOLOGIES CO.,LTD"
136,DC-D2-FC,"HUAWEI TECHNOLOGIES CO.,LTD"
137,00-03-DD,Comark Interactive Solutions
138,00-10-7B,"Cisco Systems, Inc"
139,00-90-6D,"Cisco Systems, Inc"
140,00-90-BF,"Cisco Systems, Inc"
141,00-50-80,"Cisco Systems, Inc"
142,00-E0-18,ASUSTek COMPUTER INC.
143,00-0C-6E,ASUSTek COMPUTER INC.
144,00-1B-FC,ASUSTek COMPUTER INC.
145,00-1E-8C,ASUSTek COMPUTER INC.
146,00-15-F2,ASUSTek COMPUTER INC.
147,00-23-54,ASUSTek COMPUTER INC.
148,00-1F-C6,ASUSTek COMPUTER INC.
149,60-18-2E,ShenZhen Protruly Electronic Ltd co.
150,F4-CF-E2,"Cisco Systems, Inc"
151,50-1C-BF,"Cisco Systems, Inc"
152,28-5F-DB,"HUAWEI TECHNOLOGIES CO.,LTD"
153,40-4D-8E,"HUAWEI TECHNOLOGIES CO.,LTD"
154,78-1D-BA,"HUAWEI TECHNOLOGIES CO.,LTD"
155,00-1E-10,"HUAWEI TECHNOLOGIES CO.,LTD"
156,88-F0-31,"Cisco Systems, Inc"
157,50-87-89,"Cisco Systems, Inc"
158,38-1C-1A,"Cisco Systems, Inc"
159,F4-0F-1B,"Cisco Systems, Inc"
160,BC-67-1C,"Cisco Systems, Inc"
161,A0-EC-F9,"Cisco Systems, Inc"
162,D4-6D-50,"Cisco Systems, Inc"
163,1C-E8-5D,"Cisco Systems, Inc"
164,C4-72-95,"Cisco Systems, Inc"
165,A0-55-4F,"Cisco Systems, Inc"
166,84-B8-02,"Cisco Systems, Inc"
167,BC-C4-93,"Cisco Systems, Inc"
168,00-19-47,Cisco SPVTG
169,00-22-CE,Cisco SPVTG
170,F0-29-29,"Cisco Systems, Inc"
171,EC-E1-A9,"Cisco Systems, Inc"
172,7C-69-F6,"Cisco Systems, Inc"
173,C0-8C-60,"Cisco Systems, Inc"
174,C0-25-5C,"Cisco Systems, Inc"
175,88-5A-92,"Cisco Systems, Inc"
176,E4-C7-22,"Cisco Systems, Inc"
177,C0-7B-BC,"Cisco Systems, Inc"
178,00-90-F2,"Cisco Systems, Inc"
179,00-17-3B,"Cisco Systems, Inc"
180,00-40-0B,"Cisco Systems, Inc"
181,00-60-09,"Cisco Systems, Inc"
182,00-60-47,"Cisco Systems, Inc"
183,00-06-C1,"Cisco Systems, Inc"
184,00-E0-14,"Cisco Systems, Inc"
185,00-E0-1E,"Cisco Systems, Inc"
186,AC-F2-C5,"Cisco Systems, Inc"
187,84-28-5A,Saffron Solutions Inc
188,80-A1-AB,Intellisis
189,F8-32-E4,ASUSTek COMPUTER INC.
190,00-10-FF,"Cisco Systems, Inc"
191,34-BD-C8,"Cisco Systems, Inc"
192,54-A2-74,"Cisco Systems, Inc"
193,58-97-BD,"Cisco Systems, Inc"
194,04-6C-9D,"Cisco Systems, Inc"
195,14-13-57,"ATP Electronics, Inc."
196,F4-4B-2A,Cisco SPVTG
197,3C-8C-F8,"TRENDnet, Inc."
198,78-D6-B2,Toshiba
199,C0-4A-09,"Zhejiang Everbright Communication Equip. Co,. Ltd"
200,F0-0D-5C,"JinQianMao  Technology Co.,Ltd."
201,2C-08-1C,OVH
202,30-E0-90,"Linctronix Ltd,"
203,70-BF-3E,Charles River Laboratories
204,D8-48-EE,"Hangzhou Xueji Technology Co., Ltd."
205,88-C2-42,Poynt Co.
206,E8-34-3E,"Beijing Infosec Technologies Co., LTD."
207,C4-AD-F1,GOPEACE Inc.
208,58-F4-96,Source Chain
209,80-B7-09,"Viptela, Inc"
210,74-18-65,"Shanghai DareGlobal Technologies Co.,Ltd"
211,00-84-ED,Private
212,DC-DC-07,TRP Systems BV
213,08-0A-4E,Planet Bingo® — 3rd Rock Gaming®
214,0C-1A-10,Acoustic Stream
215,E4-A3-87,Control Solutions LLC
216,DC-82-F6,iPort
217,C4-9E-41,G24 Power Limited
218,D0-3E-5C,"HUAWEI TECHNOLOGIES CO.,LTD"
219,C8-A9-FC,Goyoo Networks Inc.
220,C4-9F-F3,"Mciao Technologies, Inc."
221,7C-2B-E1,"Shenzhen Ferex Electrical Co.,Ltd"
222,30-FF-F6,"HangZhou KuoHeng Technology Co.,ltd"
223,58-53-C0,"Beijing Guang Runtong Technology Development Company co.,Ltd"
224,50-31-AD,ABB Global Industries and Services Private Limited
225,30-A2-43,"Shenzhen Prifox Innovation Technology Co., Ltd."
226,2C-A5-39,"Parallel Wireless, Inc"
227,FC-33-5F,Polyera
228,A8-C8-7F,"Roqos, Inc."
229,C0-25-A2,"NEC Platforms, Ltd."
230,78-53-F2,ROXTON Ltd.
231,94-BB-AE,Husqvarna AB
232,AC-89-95,AzureWave Technology Inc.
233,F8-98-B9,"HUAWEI TECHNOLOGIES CO.,LTD"
234,1C-49-7B,"Gemtek Technology Co., Ltd."
235,2C-CF-58,"HUAWEI TECHNOLOGIES CO.,LTD"
236,54-FF-82,Davit Solution co.
237,D4-45-E8,"Jiangxi Hongpai Technology Co., Ltd."
238,84-79-73,"Shanghai Baud Data Communication Co.,Ltd."
239,90-6F-18,Private
240,88-1B-99,SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.
241,68-12-95,Lupine Lighting Systems GmbH
242,64-9A-12,P2 Mobile Technologies Limited
243,E4-C2-D1,"HUAWEI TECHNOLOGIES CO.,LTD"
244,DC-3C-F6,Atomic Rules LLC
245,3C-31-78,Qolsys Inc.
246,08-3A-5C,"Junilab, Inc."
247,4C-AE-31,ShengHai Electronics (Shenzhen) Ltd
248,F0-D6-57,ECHOSENS
249,24-69-3E,innodisk Corporation
250,E4-8D-8C,Routerboard.com
251,C0-DC-6A,"Qingdao Eastsoft Communication Technology Co.,LTD"
252,64-59-F8,Vodafone Omnitel B.V.
253,08-2C-B0,Network Instruments
254,48-50-73,Microsoft Corporation
255,3C-A3-1A,Oilfind International LLC
256,A4-24-DD,Cambrionix Ltd
257,88-A2-D7,"HUAWEI TECHNOLOGIES CO.,LTD"
258,D8-9A-34,"Beijing SHENQI Technology Co., Ltd."
259,1C-AD-D1,"Bosung Electronics Co., Ltd."
260,24-E5-AA,"Philips Oral Healthcare, Inc."
261,88-CB-A5,"Suzhou Torchstar Intelligent Technology Co.,Ltd"
262,04-61-69,"MEDIA GLOBAL LINKS CO., LTD."
263,AC-56-2C,LAVA INTERNATIONAL(H.K) LIMITED
264,3C-CE-15,"Mercedes-Benz USA, LLC"
265,84-DF-19,Chuango Security Technology Corporation
266,3C-47-11,"HUAWEI TECHNOLOGIES CO.,LTD"
267,24-5B-F0,"Liteon, Inc."
268,FC-FE-C2,Invensys Controls UK Limited
269,E8-F2-E2,LG Innotek
270,AC-67-6F,Electrocompaniet A.S.
271,4C-B8-2C,"Cambridge Mobile Telematics, Inc."
272,F0-22-4E,Esan electronic co.
273,B0-41-1D,ITTIM Technologies
274,7C-B2-5C,Acacia Communications
275,78-EB-39,Instituto Nacional de Tecnología Industrial
276,EC-EE-D8,"ZTLX Network Technology Co.,Ltd"
277,F8-5B-9C,"SB SYSTEMS Co.,Ltd"
278,7C-A2-37,"King Slide Technology CO., LTD."
279,84-73-03,Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd.
280,B0-49-5F,"OMRON HEALTHCARE Co., Ltd."
281,F4-47-13,"Leading Public Performance Co., Ltd."
282,D4-52-2A,TangoWiFi.com
283,B0-EC-E1,Private
284,40-7F-E0,Glory Star Technics (ShenZhen) Limited
285,BC-5C-4C,"ELECOM CO.,LTD."
286,6C-A7-5F,zte corporation
287,C8-C5-0E,"Shenzhen Primestone Network Technologies.Co., Ltd."
288,9C-BE-E0,"Biosoundlab Co., Ltd."
289,5C-5B-35,"Mist Systems, Inc."
290,E8-07-BF,"SHENZHEN BOOMTECH INDUSTRY CO.,LTD"
291,E8-16-2B,"IDEO Security Co., Ltd."
292,70-9F-2D,zte corporation
293,EC-E2-FD,"SKG Electric Group(Thailand) Co., Ltd."
294,88-E6-03,Avotek corporation
295,74-E2-8C,Microsoft Corporation
296,94-F1-9E,"HUIZHOU MAORONG INTELLIGENT TECHNOLOGY CO.,LTD"
297,C4-92-4C,"KEISOKUKI CENTER CO.,LTD."
298,E4-F9-39,Minxon Hotel Technology INC.
299,38-C7-0A,WiFiSong
300,60-E6-BC,"Sino-Telecom Technology Co.,Ltd."
301,48-6E-FB,"Davit System Technology Co., Ltd."
302,34-0A-22,TOP-ACCESS ELECTRONICS CO LTD
303,B0-08-BF,"Vital Connect, Inc."
304,48-54-15,NET RULES TECNOLOGIA EIRELI
305,70-C7-6F,INNO S
306,70-4E-66,"SHENZHEN FAST TECHNOLOGIES CO.,LTD"
307,40-9B-0D,"Shenzhen Yourf Kwan Industrial Co., Ltd"
308,C4-08-80,"Shenzhen UTEPO Tech Co., Ltd."
309,94-C0-38,Tallac Networks
310,80-19-67,"Shanghai Reallytek Information Technology  Co.,Ltd"
311,68-36-B5,"DriveScale, Inc."
312,2C-F7-F1,Seeed Technology Inc.
313,F8-84-79,"Yaojin Technology(Shenzhen)Co.,Ltd"
314,4C-48-DA,"Beijing Autelan Technology Co.,Ltd"
315,90-17-9B,Nanomegas
316,30-77-CB,"Maike Industry(Shenzhen)CO.,LTD"
317,34-28-F0,ATN International Limited
318,EC-3C-5A,"SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.,LTD"
319,8C-05-51,Koubachi AG
320,E8-87-A3,Loxley Public Company Limited
321,10-FA-CE,"Reacheng Communication Technology Co.,Ltd"
322,D8-CB-8A,"Micro-Star INTL CO., LTD."
323,A8-D0-E3,Systech Electronics Ltd.
324,84-63-D6,Microsoft Corporation
325,78-B3-B9,"ShangHai sunup lighting CO.,LTD"
326,18-65-71,"Top Victory Electronics (Taiwan) Co., Ltd."
327,F8-BC-41,Rosslare Enterprises Limited
328,84-86-F3,Greenvity Communications
329,20-5C-FA,"Yangzhou ChangLian Network Technology Co,ltd."
330,8C-18-D9,"Shenzhen RF Technology Co., Ltd"
331,60-99-D1,Vuzix / Lenovo
332,34-F6-D2,"Panasonic Taiwan Co.,Ltd."
333,DC-2F-03,"Step forward Group Co., Ltd."
334,58-21-36,"KMB systems, s.r.o."
335,00-AE-FA,"Murata Manufacturing Co., Ltd."
336,8C-DF-9D,NEC Corporation
337,F8-E9-03,D-Link International
338,68-28-F6,"Vubiq Networks, Inc."
339,44-35-6F,Neterix
340,74-2E-FC,"DirectPacket Research, Inc,"
341,20-C0-6D,"SHENZHEN SPACETEK TECHNOLOGY CO.,LTD"
342,3C-B7-92,"Hitachi Maxell, Ltd., Optronics Division"
343,74-91-BD,"Four systems Co.,Ltd."
344,D4-32-66,Fike Corporation
345,94-8E-89,INDUSTRIAS UNIDAS SA DE CV
346,94-05-B6,Liling FullRiver Electronics & Technology Ltd
347,38-2C-4A,ASUSTek COMPUTER INC.
348,74-54-7D,Cisco SPVTG
349,D4-8F-33,Microsoft Corporation
350,1C-A2-B1,ruwido austria gmbh
351,94-54-93,"Rigado, LLC"
352,34-B7-FD,"Guangzhou Younghead Electronic Technology Co.,Ltd"
353,38-4B-76,AIRTAME ApS
354,1C-52-16,"DONGGUAN HELE ELECTRONICS CO., LTD"
355,70-AF-25,"Nishiyama Industry Co.,LTD."
356,B4-7C-29,"Shenzhen Guzidi Technology Co.,Ltd"
357,2C-1A-31,Electronics Company Limited
358,6C-19-8F,D-Link International
359,60-C1-CB,"Fujian Great Power PLC Equipment Co.,Ltd"
360,68-6E-48,"Prophet Electronic Technology Corp.,Ltd"
361,30-F7-D7,"Thread Technology Co., Ltd"
362,38-08-FD,Silca Spa
363,7C-25-87,chaowifi.com
364,20-12-D5,Scientech Materials Corporation
365,EC-1D-7F,zte corporation
366,AC-11-D3,Suzhou HOTEK  Video Technology Co. Ltd
367,30-42-25,BURG-WÄCHTER KG
368,1C-48-40,IMS Messsysteme GmbH
369,F4-28-53,Zioncom Electronics (Shenzhen) Ltd.
370,3C-46-D8,"TP-LINK TECHNOLOGIES CO.,LTD."
371,6C-02-73,"Shenzhen Jin Yun Video Equipment Co., Ltd."
372,F4-28-33,MMPC Inc.
373,24-4F-1D,iRule LLC
374,BC-9C-C5,"Beijing Huafei Technology Co., Ltd."
375,50-50-65,TAKT Corporation
376,A4-A4-D3,Bluebank Communication Technology Co.Ltd
377,74-F4-13,Maxwell Forest
378,34-F0-CA,"Shenzhen Linghangyuan Digital Technology Co.,Ltd."
379,30-B5-F1,"Aitexin Technology Co., Ltd"
380,08-CD-9B,samtec automotive electronics & software GmbH
381,28-FC-F6,"Shenzhen Xin KingBrand enterprises Co.,Ltd"
382,4C-26-E7,"Welgate Co., Ltd."
383,94-D6-0E,"shenzhen yunmao information technologies co., ltd"
384,7C-6A-C3,"GatesAir, Inc"
385,3C-CD-5A,Technische Alternative GmbH
386,60-48-26,Newbridge Technologies Int. Ltd.
387,24-D1-3F,"MEXUS CO.,LTD"
388,70-2C-1F,Wisol
389,9C-BD-9D,"SkyDisk, Inc."
390,74-C6-21,"Zhejiang Hite Renewable Energy Co.,LTD"
391,44-C3-06,SIFROM Inc.
392,54-A3-1B,"Shenzhen Linkworld Technology Co,.LTD"
393,5C-E7-BF,"New Singularity International Technical Development Co.,Ltd"
394,1C-EE-E8,Ilshin Elecom
395,6C-64-1A,Penguin Computing
396,E0-36-E3,"Stage One International Co., Ltd."
397,34-DE-34,zte corporation
398,34-46-6F,HiTEM Engineering
399,2C-39-C1,Ciena Corporation
400,6C-2C-06,OOO NPP Systemotechnika-NN
401,54-EE-75,"Wistron InfoComm(Kunshan)Co.,Ltd."
402,60-81-2B,Custom Control Concepts
403,F8-66-01,"Suzhou Chi-tek information technology Co., Ltd"
404,FC-4A-E9,Castlenet Technology Inc.
405,34-E4-2A,Automatic Bar Controls Inc.
406,20-A7-87,Bointec Taiwan Corporation Limited
407,A4-81-EE,Nokia Corporation
408,54-C8-0F,"TP-LINK TECHNOLOGIES CO.,LTD."
409,EC-17-66,Research Centre Module
410,7C-FF-62,"Huizhou Super Electron Technology Co.,Ltd."
411,A0-D1-2A,AXPRO Technology Inc.
412,30-C7-50,MIC Technology Group
413,44-29-38,NietZsche enterprise Co.Ltd.
414,D8-81-CE,AHN INC.
415,E0-D3-1A,"EQUES Technology Co., Limited"
416,9C-3E-AA,"EnvyLogic Co.,Ltd."
417,90-98-64,Impex-Sat GmbH&amp;Co KG
418,DC-E5-78,Experimental Factory of Scientific Engineering and Special Design Department
419,94-9F-3F,Optek Digital Technology company limited
420,98-77-70,"Pep Digital Technology (Guangzhou) Co., Ltd"
421,44-11-C2,Telegartner Karl Gartner GmbH
422,94-51-BF,Hyundai ESG
423,4C-7F-62,Nokia Corporation
424,F0-3F-F8,R L Drake
425,B0-C5-54,D-Link International
426,54-D1-63,"MAX-TECH,INC"
427,E4-12-18,"ShenZhen Rapoo Technology Co., Ltd."
428,2C-8A-72,HTC Corporation
429,44-86-C1,Siemens Low Voltage & Products
430,C8-31-68,eZEX corporation
431,F8-4A-73,"EUMTECH CO., LTD"
432,88-0F-10,"Huami Information Technology Co.,Ltd."
433,24-33-6C,Private
434,C4-6B-B4,myIDkey
435,EC-E5-12,tado GmbH
436,30-91-8F,Technicolor
437,FC-09-F6,"GUANGDONG TONZE ELECTRIC CO.,LTD"
438,68-78-48,"Westunitis Co., Ltd."
439,A8-B9-B3,ESSYS
440,64-B3-70,PowerComm Solutions LLC
441,D8-65-95,Toy's Myth Inc.
442,D8-DD-5F,BALMUDA Inc.
443,88-D9-62,Canopus Systems US LLC
444,2C-18-AE,"Trend Electronics Co., Ltd."
445,E0-97-F2,Atomax Inc.
446,90-F3-B7,"Kirisun Communications Co., Ltd."
447,DC-AD-9E,GreenPriz
448,B4-82-7B,AKG Acoustics GmbH
449,90-8C-44,"H.K ZONGMU TECHNOLOGY CO., LTD."
450,0C-47-3D,Hitron Technologies. Inc
451,9C-F8-DB,"shenzhen eyunmei technology co,.ltd"
452,64-42-14,Swisscom Energy Solutions AG
453,8C-CD-A2,"ACTP, Inc."
454,CC-72-0F,Viscount Systems Inc.
455,90-67-17,Alphion India Private Limited
456,24-05-0F,MTN Electronic Co. Ltd
457,40-B6-B1,"SUNGSAM CO,.Ltd"
458,98-FF-6A,"OTEC(Shanghai)Technology Co.,Ltd."
459,AC-6B-AC,Jenny Science AG
460,70-7C-18,"ADATA Technology Co., Ltd"
461,FC-4B-1C,INTERSENSOR S.R.L.
462,18-79-A2,GMJ ELECTRIC LIMITED
463,E0-C8-6A,"SHENZHEN TW-SCIE Co., Ltd"
464,80-BA-E6,Neets
465,04-1A-04,WaveIP
466,50-20-6B,Emerson Climate Technologies Transportation Solutions
467,C8-EE-75,Pishion International Co. Ltd
468,CC-34-29,"TP-LINK TECHNOLOGIES CO.,LTD."
469,40-74-96,aFUN TECHNOLOGY INC.
470,18-C8-E7,"Shenzhen Hualistone Technology Co.,Ltd"
471,3C-F7-48,"Shenzhen Linsn Technology Development Co.,Ltd"
472,9C-03-9E,"Beijing Winchannel Software Technology Co., Ltd"
473,48-A2-B7,Kodofon JSC
474,44-3C-9C,Pintsch Tiefenbach GmbH
475,F8-1C-E5,Telefonbau Behnke GmbH
476,BC-2D-98,ThinGlobal LLC
477,7C-72-E4,Unikey Technologies
478,CC-74-98,Filmetrics Inc.
479,7C-6A-B3,IBC TECHNOLOGIES INC.
480,F0-32-1A,Mita-Teknik A/S
481,4C-D7-B6,Helmer Scientific
482,74-6F-3D,Contec GmbH
483,48-3D-32,Syscor Controls &amp; Automation
484,90-31-CD,Onyx Healthcare Inc.
485,40-4A-18,Addrek Smart Solutions
486,C4-C0-AE,"MIDORI ELECTRONIC CO., LTD."
487,90-83-7A,General Electric Water & Process Technologies
488,08-97-58,"Shenzhen Strong Rising Electronics Co.,Ltd DongGuan Subsidiary"
489,B4-24-E7,"Codetek Technology Co.,Ltd"
490,44-EE-30,Budelmann Elektronik GmbH
491,38-DB-BB,"Sunbow Telecom Co., Ltd."
492,68-8A-B5,EDP Servicos
493,40-7A-80,Nokia Corporation
494,D4-81-CA,"iDevices, LLC"
495,B8-98-F7,"Gionee Communication Equipment Co,Ltd.ShenZhen"
496,C0-F1-C4,Pacidal Corporation Ltd.
497,D8-58-D7,"CZ.NIC, z.s.p.o."
498,10-B7-13,Private
499,E8-E7-70,"Warp9 Tech Design, Inc."
500,78-CA-5E,ELNO
501,98-FF-D0,Lenovo Mobile Communication Technology Ltd.
502,50-A0-54,Actineon
503,48-EE-86,"UTStarcom (China) Co.,Ltd"
504,50-56-A8,Jolla Ltd
505,D0-9D-0A,LINKCOM
506,54-FB-58,"WISEWARE, Lda"
507,C0-A0-BB,D-Link International
508,28-A1-EB,"ETEK TECHNOLOGY (SHENZHEN) CO.,LTD"
509,4C-CB-F5,zte corporation
510,F0-F5-AE,Adaptrum Inc.
511,F4-28-96,SPECTO PAINEIS ELETRONICOS LTDA
512,9C-28-40,"Discovery Technology,LTD.."
513,F8-9F-B8,YAZAKI Energy System Corporation
514,F0-37-A1,"Huike Electronics (SHENZHEN) CO., LTD."
515,6C-D1-B0,WING SING ELECTRONICS HONG KONG LIMITED
516,A4-F5-22,"CHOFU SEISAKUSHO CO.,LTD"
517,7C-E5-6B,"ESEN Optoelectronics Technology Co.,Ltd."
518,CC-47-03,"Intercon Systems Co., Ltd."
519,5C-33-27,Spazio Italia srl
520,F8-5B-C9,M-Cube Spa
521,80-05-DF,Montage Technology Group Limited
522,78-E8-B6,zte corporation
523,04-1B-94,Host Mobility AB
524,CC-2A-80,"Micro-Biz intelligence solutions Co.,Ltd"
525,38-59-F8,MindMade Sp. z o.o.
526,5C-02-6A,Applied Vision Corporation
527,7C-BD-06,AE REFUsol
528,94-BA-56,"Shenzhen Coship Electronics Co., Ltd."
529,28-94-AF,Samhwa Telecom
530,74-0E-DB,"Optowiz Co., Ltd"
531,00-A2-FF,abatec group AG
532,D0-95-C7,"Pantech Co., Ltd."
533,D0-2C-45,"littleBits Electronics, Inc."
534,50-27-C7,"TECHNART Co.,Ltd"
535,24-80-00,Westcontrol AS
536,F8-4A-7F,Innometriks Inc
537,58-63-9A,TPL SYSTEMES
538,0C-9B-13,Shanghai Magic Mobile Telecommunication Co.Ltd.
539,3C-15-EA,"TESCOM CO., LTD."
540,B4-CC-E9,PROSYST
541,34-A3-BF,Terewave. Inc.
542,B0-CE-18,"Zhejiang shenghui lighting co.,Ltd"
543,50-3C-C4,Lenovo Mobile Communication Technology Ltd.
544,28-6D-97,"SAMJIN Co., Ltd."
545,AC-E4-2E,SK hynix
546,08-EF-3B,MCS Logic Inc.
547,80-6C-8B,KAESER KOMPRESSOREN AG
548,04-8C-03,"ThinPAD Technology (Shenzhen)CO.,LTD"
549,84-E6-29,Bluwan SA
550,34-CD-6D,CommSky Technologies
551,C4-7F-51,Inventek Systems
