Time,SrcIP,SrcPort,DstIP,DstPort,PacketSIZE,Session_id
2018-01-04 09:07:01,192.168.0.19,164,123.234.23.71,300,50.0,49804
2018-01-04 09:07:02,123.234.23.71,300,192.168.0.19,164,41.0,49804
2018-01-04 09:07:03,192.168.0.19,164,123.234.23.71,300,256.0,49804
2018-01-04 09:07:04,123.234.23.71,300,192.168.0.19,164,458.0,49804
2018-01-04 10:06:01,192.168.0.19,102,143.234.223.86,18,55.0,27247
2018-01-04 10:06:02,143.234.223.86,18,192.168.0.19,102,253.0,27247
2018-01-04 10:06:03,192.168.0.19,102,143.234.223.86,18,256.0,27247
2018-01-04 10:06:04,143.234.223.86,18,192.168.0.19,102,5009.0,27247
2018-01-05 09:07:01,192.168.0.19,210,123.234.23.247,300,46.0,33436
2018-01-05 09:07:02,123.234.23.247,300,192.168.0.19,210,52.0,33436
2018-01-05 09:07:03,192.168.0.19,210,123.234.23.247,300,249.0,33436
2018-01-05 09:07:04,123.234.23.247,300,192.168.0.19,210,482.0,33436
2018-01-05 10:06:01,192.168.0.19,193,143.234.223.249,19,48.0,35234
2018-01-05 10:06:02,143.234.223.249,19,192.168.0.19,193,249.0,35234
2018-01-05 10:06:03,192.168.0.19,193,143.234.223.249,19,257.0,35234
2018-01-05 10:06:04,143.234.223.249,19,192.168.0.19,193,4996.0,35234
2018-01-06 00:18:01,192.168.0.19,110,123.234.23.245,300,58.0,9911
2018-01-06 00:18:02,123.234.23.245,300,192.168.0.19,110,43.0,9911
2018-01-06 00:18:03,192.168.0.19,110,123.234.23.245,300,246.0,9911
2018-01-06 00:18:04,123.234.23.245,300,192.168.0.19,110,474.0,9911
2018-01-06 01:06:01,192.168.0.19,208,143.234.223.42,15,49.0,11348
2018-01-06 01:06:02,143.234.223.42,15,192.168.0.19,208,248.0,11348
2018-01-06 01:06:03,192.168.0.19,208,143.234.223.42,15,253.0,11348
2018-01-06 01:06:04,143.234.223.42,15,192.168.0.19,208,5005.0,11348
2018-01-07 00:18:01,192.168.0.19,191,123.234.23.251,300,47.0,3018
2018-01-07 00:18:02,123.234.23.251,300,192.168.0.19,191,53.0,3018
2018-01-07 00:18:03,192.168.0.19,191,123.234.23.251,300,245.0,3018
2018-01-07 00:18:04,123.234.23.251,300,192.168.0.19,191,530.0,3018
2018-01-07 01:06:01,192.168.0.19,125,143.234.223.31,11,49.0,40289
2018-01-07 01:06:02,143.234.223.31,11,192.168.0.19,125,253.0,40289
2018-01-07 01:06:03,192.168.0.19,125,143.234.223.31,11,252.0,40289
2018-01-07 01:06:04,143.234.223.31,11,192.168.0.19,125,5000.0,40289
2018-01-03 09:23:01,192.168.0.19,142,123.234.23.227,300,50.0,47858
2018-01-03 09:23:02,123.234.23.227,300,192.168.0.19,142,53.0,47858
2018-01-03 09:23:03,192.168.0.19,142,123.234.23.227,300,248.0,47858
2018-01-03 09:23:04,123.234.23.227,300,192.168.0.19,142,549.0,47858
2018-01-03 10:04:01,192.168.0.19,152,143.234.223.245,19,54.0,46161
2018-01-03 10:04:02,143.234.223.245,19,192.168.0.19,152,245.0,46161
2018-01-03 10:04:03,192.168.0.19,152,143.234.223.245,19,250.0,46161
2018-01-03 10:04:04,143.234.223.245,19,192.168.0.19,152,5007.0,46161
2018-01-04 09:23:01,192.168.0.19,109,123.234.23.133,300,51.0,33520
2018-01-04 09:23:02,123.234.23.133,300,192.168.0.19,109,57.0,33520
2018-01-04 09:23:03,192.168.0.19,109,123.234.23.133,300,247.0,33520
2018-01-04 09:23:04,123.234.23.133,300,192.168.0.19,109,476.0,33520
2018-01-04 10:04:01,192.168.0.19,198,143.234.223.255,14,54.0,13554
2018-01-04 10:04:02,143.234.223.255,14,192.168.0.19,198,249.0,13554
2018-01-04 10:04:03,192.168.0.19,198,143.234.223.255,14,246.0,13554
2018-01-04 10:04:04,143.234.223.255,14,192.168.0.19,198,5004.0,13554
2018-01-05 09:23:01,192.168.0.19,163,123.234.23.63,300,50.0,35164
2018-01-05 09:23:02,123.234.23.63,300,192.168.0.19,163,48.0,35164
2018-01-05 09:23:03,192.168.0.19,163,123.234.23.63,300,247.0,35164
2018-01-05 09:23:04,123.234.23.63,300,192.168.0.19,163,492.0,35164
2018-01-05 10:04:01,192.168.0.19,219,143.234.223.74,14,49.0,29017
2018-01-05 10:04:02,143.234.223.74,14,192.168.0.19,219,248.0,29017
2018-01-05 10:04:03,192.168.0.19,219,143.234.223.74,14,250.0,29017
2018-01-05 10:04:04,143.234.223.74,14,192.168.0.19,219,4998.0,29017
2018-01-06 01:04:01,192.168.0.19,204,123.234.23.194,300,49.0,12519
2018-01-06 01:04:02,123.234.23.194,300,192.168.0.19,204,49.0,12519
2018-01-06 01:04:03,192.168.0.19,204,123.234.23.194,300,247.0,12519
2018-01-06 01:04:04,123.234.23.194,300,192.168.0.19,204,528.0,12519
2018-01-06 02:19:01,192.168.0.19,141,143.234.223.110,14,53.0,9741
2018-01-06 02:19:02,143.234.223.110,14,192.168.0.19,141,251.0,9741
2018-01-06 02:19:03,192.168.0.19,141,143.234.223.110,14,259.0,9741
2018-01-06 02:19:04,143.234.223.110,14,192.168.0.19,141,4994.0,9741
2018-01-07 01:04:01,192.168.0.19,140,123.234.23.83,300,50.0,62977
2018-01-07 01:04:02,123.234.23.83,300,192.168.0.19,140,57.0,62977
2018-01-07 01:04:03,192.168.0.19,140,123.234.23.83,300,253.0,62977
2018-01-07 01:04:04,123.234.23.83,300,192.168.0.19,140,454.0,62977
2018-01-07 02:19:01,192.168.0.19,121,143.234.223.74,16,49.0,61600
2018-01-07 02:19:02,143.234.223.74,16,192.168.0.19,121,260.0,61600
2018-01-07 02:19:03,192.168.0.19,121,143.234.223.74,16,252.0,61600
2018-01-07 02:19:04,143.234.223.74,16,192.168.0.19,121,4999.0,61600
2018-01-03 09:23:01,192.168.0.19,222,123.234.23.75,300,57.0,12079
2018-01-03 09:23:02,123.234.23.75,300,192.168.0.19,222,53.0,12079
2018-01-03 09:23:03,192.168.0.19,222,123.234.23.75,300,252.0,12079
2018-01-03 09:23:04,123.234.23.75,300,192.168.0.19,222,512.0,12079
2018-01-03 10:04:01,192.168.0.19,142,143.234.223.131,16,47.0,42630
2018-01-03 10:04:02,143.234.223.131,16,192.168.0.19,142,255.0,42630
2018-01-03 10:04:03,192.168.0.19,142,143.234.223.131,16,255.0,42630
2018-01-03 10:04:04,143.234.223.131,16,192.168.0.19,142,5001.0,42630
2018-01-04 09:23:01,192.168.0.19,122,123.234.23.97,300,51.0,39103
2018-01-04 09:23:02,123.234.23.97,300,192.168.0.19,122,53.0,39103
2018-01-04 09:23:03,192.168.0.19,122,123.234.23.97,300,248.0,39103
2018-01-04 09:23:04,123.234.23.97,300,192.168.0.19,122,508.0,39103
2018-01-04 10:04:01,192.168.0.19,121,143.234.223.32,19,47.0,20938
2018-01-04 10:04:02,143.234.223.32,19,192.168.0.19,121,248.0,20938
2018-01-04 10:04:03,192.168.0.19,121,143.234.223.32,19,248.0,20938
2018-01-04 10:04:04,143.234.223.32,19,192.168.0.19,121,5000.0,20938
2018-01-05 09:23:01,192.168.0.19,172,123.234.23.187,300,46.0,47719
2018-01-05 09:23:02,123.234.23.187,300,192.168.0.19,172,54.0,47719
2018-01-05 09:23:03,192.168.0.19,172,123.234.23.187,300,254.0,47719
2018-01-05 09:23:04,123.234.23.187,300,192.168.0.19,172,516.0,47719
2018-01-05 10:04:01,192.168.0.19,151,143.234.223.91,14,55.0,34643
2018-01-05 10:04:02,143.234.223.91,14,192.168.0.19,151,249.0,34643
2018-01-05 10:04:03,192.168.0.19,151,143.234.223.91,14,248.0,34643
2018-01-05 10:04:04,143.234.223.91,14,192.168.0.19,151,5000.0,34643
2018-01-06 01:04:01,192.168.0.19,182,123.234.23.132,300,48.0,62725
2018-01-06 01:04:02,123.234.23.132,300,192.168.0.19,182,47.0,62725
2018-01-06 01:04:03,192.168.0.19,182,123.234.23.132,300,252.0,62725
2018-01-06 01:04:04,123.234.23.132,300,192.168.0.19,182,495.0,62725
2018-01-06 02:19:01,192.168.0.19,103,143.234.223.194,13,55.0,42690
2018-01-06 02:19:02,143.234.223.194,13,192.168.0.19,103,251.0,42690
2018-01-06 02:19:03,192.168.0.19,103,143.234.223.194,13,248.0,42690
2018-01-06 02:19:04,143.234.223.194,13,192.168.0.19,103,5005.0,42690
2018-01-07 01:04:01,192.168.0.19,215,123.234.23.170,300,48.0,45825
2018-01-07 01:04:02,123.234.23.170,300,192.168.0.19,215,52.0,45825
2018-01-07 01:04:03,192.168.0.19,215,123.234.23.170,300,247.0,45825
2018-01-07 01:04:04,123.234.23.170,300,192.168.0.19,215,518.0,45825
2018-01-07 02:19:01,192.168.0.19,162,143.234.223.54,14,53.0,50614
2018-01-07 02:19:02,143.234.223.54,14,192.168.0.19,162,246.0,50614
2018-01-07 02:19:03,192.168.0.19,162,143.234.223.54,14,246.0,50614
2018-01-07 02:19:04,143.234.223.54,14,192.168.0.19,162,5010.0,50614
2018-01-03 00:15:01,192.168.0.19,157,132.214.243.231,1046,49.0,3252
2018-01-03 00:15:02,132.214.243.231,1046,192.168.0.19,157,253.0,3252
2018-01-03 00:30:01,192.168.0.19,177,132.214.243.231,1817,50.0,8617
2018-01-03 00:30:02,132.214.243.231,1817,192.168.0.19,177,257.0,8617
2018-01-03 00:45:01,192.168.0.19,200,132.214.243.231,1222,53.0,22401
2018-01-03 00:45:02,132.214.243.231,1222,192.168.0.19,200,250.0,22401
2018-01-03 01:00:01,192.168.0.19,169,132.214.243.231,1711,46.0,24932
2018-01-03 01:00:02,132.214.243.231,1711,192.168.0.19,169,249.0,24932
2018-01-03 01:15:01,192.168.0.19,220,132.214.243.231,1382,53.0,50634
2018-01-03 01:15:02,132.214.243.231,1382,192.168.0.19,220,250.0,50634
2018-01-03 01:30:01,192.168.0.19,175,132.214.243.231,1520,54.0,58511
2018-01-03 01:30:02,132.214.243.231,1520,192.168.0.19,175,246.0,58511
2018-01-03 01:45:01,192.168.0.19,194,132.214.243.231,1119,52.0,45669
2018-01-03 01:45:02,132.214.243.231,1119,192.168.0.19,194,254.0,45669
2018-01-03 02:00:01,192.168.0.19,217,132.214.243.231,1739,48.0,14913
2018-01-03 02:00:02,132.214.243.231,1739,192.168.0.19,217,247.0,14913
2018-01-03 02:15:01,192.168.0.19,215,132.214.243.231,1855,50.0,34743
2018-01-03 02:15:02,132.214.243.231,1855,192.168.0.19,215,251.0,34743
2018-01-03 02:30:01,192.168.0.19,152,132.214.243.231,1801,49.0,10759
2018-01-03 02:30:02,132.214.243.231,1801,192.168.0.19,152,256.0,10759
2018-01-03 02:45:01,192.168.0.19,193,132.214.243.231,1195,49.0,42287
2018-01-03 02:45:02,132.214.243.231,1195,192.168.0.19,193,253.0,42287
2018-01-03 03:00:01,192.168.0.19,156,132.214.243.231,1475,51.0,46400
2018-01-03 03:00:02,132.214.243.231,1475,192.168.0.19,156,250.0,46400
2018-01-03 03:15:01,192.168.0.19,154,132.214.243.231,1306,46.0,17311
2018-01-03 03:15:02,132.214.243.231,1306,192.168.0.19,154,253.0,17311
2018-01-03 03:30:01,192.168.0.19,206,132.214.243.231,1719,50.0,27648
2018-01-03 03:30:02,132.214.243.231,1719,192.168.0.19,206,251.0,27648
2018-01-03 03:45:01,192.168.0.19,216,132.214.243.231,1635,44.0,10760
2018-01-03 03:45:02,132.214.243.231,1635,192.168.0.19,216,240.0,10760
2018-01-03 04:00:01,192.168.0.19,118,132.214.243.231,1406,46.0,45120
2018-01-03 04:00:02,132.214.243.231,1406,192.168.0.19,118,250.0,45120
2018-01-03 04:15:01,192.168.0.19,129,132.214.243.231,1233,48.0,47456
2018-01-03 04:15:02,132.214.243.231,1233,192.168.0.19,129,242.0,47456
2018-01-03 04:30:01,192.168.0.19,207,132.214.243.231,1804,57.0,36230
2018-01-03 04:30:02,132.214.243.231,1804,192.168.0.19,207,250.0,36230
2018-01-03 04:45:01,192.168.0.19,117,132.214.243.231,1597,44.0,33162
2018-01-03 04:45:02,132.214.243.231,1597,192.168.0.19,117,250.0,33162
2018-01-03 05:00:01,192.168.0.19,161,132.214.243.231,1704,44.0,47618
2018-01-03 05:00:02,132.214.243.231,1704,192.168.0.19,161,251.0,47618
2018-01-03 05:15:01,192.168.0.19,160,132.214.243.231,1814,46.0,7235
2018-01-03 05:15:02,132.214.243.231,1814,192.168.0.19,160,240.0,7235
2018-01-03 05:30:01,192.168.0.19,229,132.214.243.231,1367,50.0,37416
2018-01-03 05:30:02,132.214.243.231,1367,192.168.0.19,229,256.0,37416
2018-01-03 05:45:01,192.168.0.19,170,132.214.243.231,1171,47.0,41751
2018-01-03 05:45:02,132.214.243.231,1171,192.168.0.19,170,248.0,41751
2018-01-03 06:00:01,192.168.0.19,122,132.214.243.231,1375,50.0,18352
2018-01-03 06:00:02,132.214.243.231,1375,192.168.0.19,122,253.0,18352
2018-01-03 06:15:01,192.168.0.19,140,132.214.243.231,1420,51.0,55256
2018-01-03 06:15:02,132.214.243.231,1420,192.168.0.19,140,250.0,55256
2018-01-03 06:30:01,192.168.0.19,124,132.214.243.231,1525,49.0,9533
2018-01-03 06:30:02,132.214.243.231,1525,192.168.0.19,124,246.0,9533
2018-01-03 06:45:01,192.168.0.19,116,132.214.243.231,1324,51.0,44917
2018-01-03 06:45:02,132.214.243.231,1324,192.168.0.19,116,250.0,44917
2018-01-03 07:00:01,192.168.0.19,201,132.214.243.231,1752,49.0,58088
2018-01-03 07:00:02,132.214.243.231,1752,192.168.0.19,201,248.0,58088
2018-01-03 07:15:01,192.168.0.19,114,132.214.243.231,1253,51.0,50249
2018-01-03 07:15:02,132.214.243.231,1253,192.168.0.19,114,249.0,50249
2018-01-03 07:30:01,192.168.0.19,196,132.214.243.231,1420,51.0,61041
2018-01-03 07:30:02,132.214.243.231,1420,192.168.0.19,196,251.0,61041
2018-01-03 07:45:01,192.168.0.19,162,132.214.243.231,1107,52.0,61322
2018-01-03 07:45:02,132.214.243.231,1107,192.168.0.19,162,252.0,61322
2018-01-03 08:00:01,192.168.0.19,161,132.214.243.231,1622,49.0,2741
2018-01-03 08:00:02,132.214.243.231,1622,192.168.0.19,161,253.0,2741
2018-01-03 08:15:01,192.168.0.19,136,132.214.243.231,1324,47.0,16128
2018-01-03 08:15:02,132.214.243.231,1324,192.168.0.19,136,248.0,16128
2018-01-03 08:30:01,192.168.0.19,132,132.214.243.231,1816,49.0,57537
2018-01-03 08:30:02,132.214.243.231,1816,192.168.0.19,132,254.0,57537
2018-01-03 08:45:01,192.168.0.19,100,132.214.243.231,1082,48.0,22647
2018-01-03 08:45:02,132.214.243.231,1082,192.168.0.19,100,250.0,22647
2018-01-03 09:00:01,192.168.0.19,177,132.214.243.231,1080,51.0,63788
2018-01-03 09:00:02,132.214.243.231,1080,192.168.0.19,177,250.0,63788
2018-01-03 09:15:01,192.168.0.19,198,132.214.243.231,1282,54.0,10795
2018-01-03 09:15:02,132.214.243.231,1282,192.168.0.19,198,244.0,10795
2018-01-03 09:30:01,192.168.0.19,103,132.214.243.231,1037,47.0,27127
2018-01-03 09:30:02,132.214.243.231,1037,192.168.0.19,103,256.0,27127
2018-01-03 09:45:01,192.168.0.19,122,132.214.243.231,1162,50.0,13495
2018-01-03 09:45:02,132.214.243.231,1162,192.168.0.19,122,248.0,13495
2018-01-03 10:00:01,192.168.0.19,134,132.214.243.231,1266,53.0,9130
2018-01-03 10:00:02,132.214.243.231,1266,192.168.0.19,134,247.0,9130
2018-01-03 10:15:01,192.168.0.19,174,132.214.243.231,1852,49.0,21327
2018-01-03 10:15:02,132.214.243.231,1852,192.168.0.19,174,251.0,21327
2018-01-03 10:30:01,192.168.0.19,148,132.214.243.231,1304,45.0,62304
2018-01-03 10:30:02,132.214.243.231,1304,192.168.0.19,148,248.0,62304
2018-01-03 10:45:01,192.168.0.19,219,132.214.243.231,1180,47.0,879
2018-01-03 10:45:02,132.214.243.231,1180,192.168.0.19,219,248.0,879
2018-01-03 11:00:01,192.168.0.19,212,132.214.243.231,1043,42.0,38817
2018-01-03 11:00:02,132.214.243.231,1043,192.168.0.19,212,247.0,38817
2018-01-03 11:15:01,192.168.0.19,134,132.214.243.231,1574,55.0,30715
2018-01-03 11:15:02,132.214.243.231,1574,192.168.0.19,134,258.0,30715
2018-01-03 11:30:01,192.168.0.19,143,132.214.243.231,1708,49.0,40587
2018-01-03 11:30:02,132.214.243.231,1708,192.168.0.19,143,255.0,40587
2018-01-03 11:45:01,192.168.0.19,175,132.214.243.231,1569,49.0,27296
2018-01-03 11:45:02,132.214.243.231,1569,192.168.0.19,175,251.0,27296
2018-01-03 12:00:01,192.168.0.19,221,132.214.243.231,1153,52.0,40478
2018-01-03 12:00:02,132.214.243.231,1153,192.168.0.19,221,248.0,40478
2018-01-03 12:15:01,192.168.0.19,114,132.214.243.231,1531,50.0,57265
2018-01-03 12:15:02,132.214.243.231,1531,192.168.0.19,114,251.0,57265
2018-01-03 12:30:01,192.168.0.19,137,132.214.243.231,1142,56.0,17808
2018-01-03 12:30:02,132.214.243.231,1142,192.168.0.19,137,249.0,17808
2018-01-03 12:45:01,192.168.0.19,172,132.214.243.231,1683,49.0,48024
2018-01-03 12:45:02,132.214.243.231,1683,192.168.0.19,172,245.0,48024
2018-01-03 13:00:01,192.168.0.19,229,132.214.243.231,1869,59.0,46465
2018-01-03 13:00:02,132.214.243.231,1869,192.168.0.19,229,247.0,46465
2018-01-03 13:15:01,192.168.0.19,163,132.214.243.231,1749,53.0,2315
2018-01-03 13:15:02,132.214.243.231,1749,192.168.0.19,163,250.0,2315
2018-01-03 13:30:01,192.168.0.19,217,132.214.243.231,1568,51.0,35997
2018-01-03 13:30:02,132.214.243.231,1568,192.168.0.19,217,249.0,35997
2018-01-03 13:45:01,192.168.0.19,194,132.214.243.231,1834,46.0,11952
2018-01-03 13:45:02,132.214.243.231,1834,192.168.0.19,194,252.0,11952
2018-01-03 14:00:01,192.168.0.19,126,132.214.243.231,1130,48.0,4770
2018-01-03 14:00:02,132.214.243.231,1130,192.168.0.19,126,251.0,4770
2018-01-03 14:15:01,192.168.0.19,123,132.214.243.231,1755,51.0,38473
2018-01-03 14:15:02,132.214.243.231,1755,192.168.0.19,123,256.0,38473
2018-01-03 14:30:01,192.168.0.19,176,132.214.243.231,1813,51.0,12686
2018-01-03 14:30:02,132.214.243.231,1813,192.168.0.19,176,249.0,12686
2018-01-03 14:45:01,192.168.0.19,175,132.214.243.231,1293,47.0,57157
2018-01-03 14:45:02,132.214.243.231,1293,192.168.0.19,175,254.0,57157
2018-01-03 15:00:01,192.168.0.19,209,132.214.243.231,1422,56.0,21460
2018-01-03 15:00:02,132.214.243.231,1422,192.168.0.19,209,255.0,21460
2018-01-03 15:15:01,192.168.0.19,196,132.214.243.231,1822,40.0,13907
2018-01-03 15:15:02,132.214.243.231,1822,192.168.0.19,196,251.0,13907
2018-01-03 15:30:01,192.168.0.19,216,132.214.243.231,1303,50.0,31171
2018-01-03 15:30:02,132.214.243.231,1303,192.168.0.19,216,250.0,31171
2018-01-03 15:45:01,192.168.0.19,159,132.214.243.231,1230,53.0,60139
2018-01-03 15:45:02,132.214.243.231,1230,192.168.0.19,159,242.0,60139
2018-01-03 16:00:01,192.168.0.19,159,132.214.243.231,1508,52.0,43295
2018-01-03 16:00:02,132.214.243.231,1508,192.168.0.19,159,253.0,43295
2018-01-03 16:15:01,192.168.0.19,105,132.214.243.231,1283,55.0,27165
2018-01-03 16:15:02,132.214.243.231,1283,192.168.0.19,105,257.0,27165
2018-01-03 16:30:01,192.168.0.19,212,132.214.243.231,1505,52.0,4567
2018-01-03 16:30:02,132.214.243.231,1505,192.168.0.19,212,247.0,4567
2018-01-03 16:45:01,192.168.0.19,206,132.214.243.231,1248,44.0,53294
2018-01-03 16:45:02,132.214.243.231,1248,192.168.0.19,206,246.0,53294
2018-01-03 17:00:01,192.168.0.19,216,132.214.243.231,1345,45.0,48236
2018-01-03 17:00:02,132.214.243.231,1345,192.168.0.19,216,245.0,48236
2018-01-03 17:15:01,192.168.0.19,193,132.214.243.231,1308,53.0,64141
2018-01-03 17:15:02,132.214.243.231,1308,192.168.0.19,193,253.0,64141
2018-01-03 17:30:01,192.168.0.19,201,132.214.243.231,1316,54.0,62777
2018-01-03 17:30:02,132.214.243.231,1316,192.168.0.19,201,255.0,62777
2018-01-03 17:45:01,192.168.0.19,185,132.214.243.231,1646,48.0,2872
2018-01-03 17:45:02,132.214.243.231,1646,192.168.0.19,185,249.0,2872
2018-01-03 18:00:01,192.168.0.19,130,132.214.243.231,1876,54.0,27753
2018-01-03 18:00:02,132.214.243.231,1876,192.168.0.19,130,250.0,27753
2018-01-03 18:15:01,192.168.0.19,207,132.214.243.231,1170,47.0,32670
2018-01-03 18:15:02,132.214.243.231,1170,192.168.0.19,207,250.0,32670
2018-01-03 18:30:01,192.168.0.19,159,132.214.243.231,1750,57.0,22519
2018-01-03 18:30:02,132.214.243.231,1750,192.168.0.19,159,242.0,22519
2018-01-03 18:45:01,192.168.0.19,229,132.214.243.231,1298,52.0,40102
2018-01-03 18:45:02,132.214.243.231,1298,192.168.0.19,229,246.0,40102
2018-01-03 19:00:01,192.168.0.19,130,132.214.243.231,1463,51.0,15095
2018-01-03 19:00:02,132.214.243.231,1463,192.168.0.19,130,250.0,15095
2018-01-03 19:15:01,192.168.0.19,179,132.214.243.231,1541,50.0,54391
2018-01-03 19:15:02,132.214.243.231,1541,192.168.0.19,179,247.0,54391
2018-01-03 19:30:01,192.168.0.19,150,132.214.243.231,1523,53.0,35228
2018-01-03 19:30:02,132.214.243.231,1523,192.168.0.19,150,252.0,35228
2018-01-03 19:45:01,192.168.0.19,215,132.214.243.231,1783,47.0,5667
2018-01-03 19:45:02,132.214.243.231,1783,192.168.0.19,215,247.0,5667
2018-01-03 20:00:01,192.168.0.19,180,132.214.243.231,1001,47.0,36990
2018-01-03 20:00:02,132.214.243.231,1001,192.168.0.19,180,246.0,36990
2018-01-03 20:15:01,192.168.0.19,128,132.214.243.231,1027,48.0,41150
2018-01-03 20:15:02,132.214.243.231,1027,192.168.0.19,128,247.0,41150
2018-01-03 20:30:01,192.168.0.19,173,132.214.243.231,1046,46.0,23486
2018-01-03 20:30:02,132.214.243.231,1046,192.168.0.19,173,251.0,23486
2018-01-03 20:45:01,192.168.0.19,155,132.214.243.231,1069,42.0,1941
2018-01-03 20:45:02,132.214.243.231,1069,192.168.0.19,155,248.0,1941
2018-01-03 21:00:01,192.168.0.19,123,132.214.243.231,1577,56.0,16986
2018-01-03 21:00:02,132.214.243.231,1577,192.168.0.19,123,249.0,16986
2018-01-03 21:15:01,192.168.0.19,208,132.214.243.231,1396,58.0,667
2018-01-03 21:15:02,132.214.243.231,1396,192.168.0.19,208,247.0,667
2018-01-03 21:30:01,192.168.0.19,120,132.214.243.231,1616,49.0,42096
2018-01-03 21:30:02,132.214.243.231,1616,192.168.0.19,120,249.0,42096
2018-01-03 21:45:01,192.168.0.19,217,132.214.243.231,1596,57.0,15287
2018-01-03 21:45:02,132.214.243.231,1596,192.168.0.19,217,247.0,15287
2018-01-03 22:00:01,192.168.0.19,134,132.214.243.231,1218,53.0,47626
2018-01-03 22:00:02,132.214.243.231,1218,192.168.0.19,134,251.0,47626
2018-01-03 22:15:01,192.168.0.19,218,132.214.243.231,1311,51.0,45733
2018-01-03 22:15:02,132.214.243.231,1311,192.168.0.19,218,255.0,45733
2018-01-03 22:30:01,192.168.0.19,151,132.214.243.231,1675,50.0,57181
2018-01-03 22:30:02,132.214.243.231,1675,192.168.0.19,151,250.0,57181
2018-01-03 22:45:01,192.168.0.19,195,132.214.243.231,1585,52.0,11943
2018-01-03 22:45:02,132.214.243.231,1585,192.168.0.19,195,253.0,11943
2018-01-03 23:00:01,192.168.0.19,137,132.214.243.231,1441,43.0,48049
